year,class,drive,transmission,engine_cylinders,engine_displacement,fuel_type_1,city_mpg_ft1,highway_mpg_ft1,highway_electricity_consumption,combined_mpg_ft1,combined_electricity_consumption,annual_fuel_cost_ft1,annual_consumption_in_barrels_ft1,tailpipe_co2_in_grams_mile_ft1,gears
1984,Small Pickup Trucks,4|All Wheel ,Auto,4.0,2.6,Regular Gasoline,17,18,0.0,17,0.0,2050,19.38882353,522.7647059,3
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.0,Regular Gasoline,18,20,0.0,19,0.0,1850,17.34789474,467.7368421,4
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.0,Regular Gasoline,19,21,0.0,20,0.0,1750,16.4805,444.35,4
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.3,Diesel,23,28,0.0,25,0.0,1550,15.2874,407.2,5
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.6,Regular Gasoline,17,20,0.0,18,0.0,1950,18.31166667,493.7222222,5
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.6,Regular Gasoline,18,21,0.0,19,0.0,1850,17.34789474,467.7368421,5
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.3,Diesel,22,24,0.0,23,0.0,1700,16.61673913,442.6086957,5
1984,Small Pickup Trucks,2,Auto,4.0,2.0,Regular Gasoline,20,21,0.0,20,0.0,1750,16.4805,444.35,3
1984,Small Pickup Trucks,2,Auto,4.0,2.0,Regular Gasoline,18,20,0.0,19,0.0,1850,17.34789474,467.7368421,3
1984,Small Pickup Trucks,2,Auto,4.0,2.6,Regular Gasoline,18,19,0.0,18,0.0,1950,18.31166667,493.7222222,3
1984,Small Pickup Trucks,2,Auto,4.0,2.6,Regular Gasoline,19,20,0.0,20,0.0,1750,16.4805,444.35,3
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,21,23,0.0,22,0.0,1600,14.98227273,403.9545455,4
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,20,22,0.0,21,0.0,1650,15.69571429,423.1904762,4
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,21,27,0.0,24,0.0,1450,13.73375,370.2916667,5
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,21,26,0.0,23,0.0,1500,14.33086957,386.3913043,5
1984,Small Pickup Trucks,2,Manual,4.0,2.3,Diesel,26,31,0.0,28,0.0,1400,13.64946429,363.5714286,5
